CI_NAME,CI_ID,STATUS,STATUSREASON,SYSTEMROLE,SERVER_FUNCTION,OWNED_BY,APP_SUPPORT,OS_SUPPORT,SA_DVC_ID,SA_SERVERNAME,SA_LOCALHOSTNAME,SA_PRIMARY_IP,SA_MANAGEMENT_IP,SA_OS_VERSION,SA_AGENT_VERSION,SA_AGENT_INTIAL_REG,SA_UNREACHABLEDAYS,STATE,SA_CUSTOMER,SA_FACILITY,PRIMARYCORE,SA_MESH,CERTOWNER,CERTVALIDDATE
TEST-SERVER-20,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Morty,Database Apps,Linux,1000001,TEST-SERVER-20.els.com,TEST-SERVER-20,174.17.165.115,44.251.64.46,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-21,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-21.els.com,TEST-SERVER-21,171.119.38.197,135.18.195.206,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-22,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nebula,Database Apps,Linux,1000001,TEST-SERVER-22.els.com,TEST-SERVER-22,242.131.42.31,111.49.75.185,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-23,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nebula,Database Apps,Linux,1000001,TEST-SERVER-23.els.com,TEST-SERVER-23,24.5.138.41,176.78.225.240,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-24,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Bruce Baner,Database Apps,Linux,1000001,TEST-SERVER-24.els.com,TEST-SERVER-24,157.27.255.20,200.213.35.162,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-25,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Bruce Baner,Database Apps,Linux,1000001,TEST-SERVER-25.els.com,TEST-SERVER-25,141.211.158.113,206.55.245.49,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-26,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Rocket,Database Apps,Linux,1000001,TEST-SERVER-26.els.com,TEST-SERVER-26,208.53.147.91,224.185.199.87,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-27,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Luke Skywalker,Database Apps,Linux,1000001,TEST-SERVER-27.els.com,TEST-SERVER-27,0.68.57.238,164.171.173.61,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-28,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Luke Skywalker,Database Apps,Linux,1000001,TEST-SERVER-28.els.com,TEST-SERVER-28,32.254.115.110,103.105.148.112,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-29,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Sam Wilson,Database Apps,Linux,1000001,TEST-SERVER-29.els.com,TEST-SERVER-29,107.71.190.118,152.42.195.205,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-30,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nick Fury,Database Apps,Linux,1000001,TEST-SERVER-30.els.com,TEST-SERVER-30,124.71.95.63,183.146.131.227,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-31,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Gomoraah,Database Apps,Linux,1000001,TEST-SERVER-31.els.com,TEST-SERVER-31,117.115.132.84,149.191.18.156,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-32,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nick Fury,Database Apps,Linux,1000001,TEST-SERVER-32.els.com,TEST-SERVER-32,237.212.190.98,21.33.235.3,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-33,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Pepper Pots,Database Apps,Linux,1000001,TEST-SERVER-33.els.com,TEST-SERVER-33,164.60.31.152,247.150.27.197,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-34,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-34.els.com,TEST-SERVER-34,73.48.221.112,113.90.14.63,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-35,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Gomoraah,Database Apps,Linux,1000001,TEST-SERVER-35.els.com,TEST-SERVER-35,178.228.143.233,250.203.138.55,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-36,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Groot,Database Apps,Linux,1000001,TEST-SERVER-36.els.com,TEST-SERVER-36,243.142.211.202,43.254.134.244,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-37,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Rocket,Database Apps,Linux,1000001,TEST-SERVER-37.els.com,TEST-SERVER-37,199.182.206.186,28.112.102.92,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-38,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-38.els.com,TEST-SERVER-38,86.28.106.119,14.120.60.238,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-39,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nebula,Database Apps,Linux,1000001,TEST-SERVER-39.els.com,TEST-SERVER-39,253.196.1.45,46.188.33.243,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-40,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Tony Stark,Database Apps,Linux,1000001,TEST-SERVER-40.els.com,TEST-SERVER-40,54.200.116.190,216.102.153.224,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-41,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-41.els.com,TEST-SERVER-41,188.155.24.1,213.138.111.222,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-42,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-42.els.com,TEST-SERVER-42,246.186.57.23,135.107.231.176,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-43,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Gomoraah,Database Apps,Linux,1000001,TEST-SERVER-43.els.com,TEST-SERVER-43,13.198.148.114,138.148.222.128,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-44,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-44.els.com,TEST-SERVER-44,13.213.94.152,192.11.13.175,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-45,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Chewbaca,Database Apps,Linux,1000001,TEST-SERVER-45.els.com,TEST-SERVER-45,126.188.87.31,245.181.164.192,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-46,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nick Fury,Database Apps,Linux,1000001,TEST-SERVER-46.els.com,TEST-SERVER-46,219.180.225.212,34.107.110.236,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-47,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-47.els.com,TEST-SERVER-47,32.144.221.220,79.199.21.168,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-48,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-48.els.com,TEST-SERVER-48,157.13.187.82,69.186.33.55,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-49,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Morty,Database Apps,Linux,1000001,TEST-SERVER-49.els.com,TEST-SERVER-49,203.80.89.246,46.201.227.193,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-50,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Sam Wilson,Database Apps,Linux,1000001,TEST-SERVER-50.els.com,TEST-SERVER-50,100.55.231.11,103.138.13.137,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-51,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Groot,Database Apps,Linux,1000001,TEST-SERVER-51.els.com,TEST-SERVER-51,253.81.20.162,157.88.206.238,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-52,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Morty,Database Apps,Linux,1000001,TEST-SERVER-52.els.com,TEST-SERVER-52,127.146.168.27,199.216.141.220,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-53,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-53.els.com,TEST-SERVER-53,162.225.228.64,161.209.8.92,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-54,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Rick,Database Apps,Linux,1000001,TEST-SERVER-54.els.com,TEST-SERVER-54,47.119.254.121,213.202.66.60,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-55,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Gomoraah,Database Apps,Linux,1000001,TEST-SERVER-55.els.com,TEST-SERVER-55,128.112.207.29,163.36.216.170,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,GREEN,SECURITY,01/01/2020
TEST-SERVER-56,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Morty,Database Apps,Linux,1000001,TEST-SERVER-56.els.com,TEST-SERVER-56,212.224.50.74,42.26.29.208,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-57,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Pepper Pots,Database Apps,Linux,1000001,TEST-SERVER-57.els.com,TEST-SERVER-57,155.100.139.154,80.8.97.201,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-58,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Morty,Database Apps,Linux,1000001,TEST-SERVER-58.els.com,TEST-SERVER-58,160.253.43.88,67.116.9.236,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-59,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Sam Wilson,Database Apps,Linux,1000001,TEST-SERVER-59.els.com,TEST-SERVER-59,39.46.50.122,155.153.50.73,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-60,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nebula,Database Apps,Linux,1000001,TEST-SERVER-60.els.com,TEST-SERVER-60,115.54.113.89,100.65.189.65,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-61,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-61.els.com,TEST-SERVER-61,62.227.221.23,38.31.226.144,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-62,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nick Fury,Database Apps,Linux,1000001,TEST-SERVER-62.els.com,TEST-SERVER-62,139.55.84.223,24.76.29.240,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-63,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nick Fury,Database Apps,Linux,1000001,TEST-SERVER-63.els.com,TEST-SERVER-63,95.241.224.141,82.90.91.71,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-64,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-64.els.com,TEST-SERVER-64,130.194.44.2,94.51.2.10,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-65,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Rocket,Database Apps,Linux,1000001,TEST-SERVER-65.els.com,TEST-SERVER-65,177.163.222.127,54.61.26.133,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-66,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Pepper Pots,Database Apps,Linux,1000001,TEST-SERVER-66.els.com,TEST-SERVER-66,41.104.182.109,92.128.104.108,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-67,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-67.els.com,TEST-SERVER-67,7.49.75.220,129.236.84.35,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-68,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Bruce Baner,Database Apps,Linux,1000001,TEST-SERVER-68.els.com,TEST-SERVER-68,186.31.175.89,250.61.64.194,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-69,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Luke Skywalker,Database Apps,Linux,1000001,TEST-SERVER-69.els.com,TEST-SERVER-69,46.21.195.182,189.56.77.74,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-70,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nebula,Database Apps,Linux,1000001,TEST-SERVER-70.els.com,TEST-SERVER-70,9.140.69.4,47.162.162.79,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-71,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Luke Skywalker,Database Apps,Linux,1000001,TEST-SERVER-71.els.com,TEST-SERVER-71,174.35.154.139,33.202.58.232,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-72,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Luke Skywalker,Database Apps,Linux,1000001,TEST-SERVER-72.els.com,TEST-SERVER-72,145.192.101.47,127.32.192.226,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-73,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-73.els.com,TEST-SERVER-73,127.161.146.212,41.251.248.206,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-74,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Clint Barton,Database Apps,Linux,1000001,TEST-SERVER-74.els.com,TEST-SERVER-74,33.47.92.29,111.31.159.24,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,PURPLE,SECURITY,01/01/2020
